perduli,peduli
yg,yang
aje,aja
san,santai
ente,kamu
sblm,sebelum
pst,pasti
dg,dengan
nnt,nanti
g,tidak
trs,terus
pns,pns
mrk,mereka
kyk,kayak
mgk,mungkin
ky,kayak
syng,sayang
jngn,jangan
btl,betul
mr,mari
cmn,cuman
byk,banyak
rp,rupiah
mmg,memang
jln,jalan
rb,ribu
nggk,nggak
b,biasa
wc,wc
sms,sms
dpr,dapur
ksh,kasih
mpr,mpr
y,iya
byr,bayar
yth,yth
kt,kita
bgmn,bagaimana
spt,seperti
ts,tersebut
wkwkw,wkwk
bb,bb
dpt,dapat
srby,surabaya
tgl,tanggal
brg,barang
hny,hanya
jd,jadi
skg,sekarang
ngk,nggak
bgm,bagaimana
kn,kan
tk,tk
skrng,sekarang
dtk,detik
bgt,banget
msh,masih
jgn,jangan
pdhl,padahal
lg,lagi
dlm,dalam
hr,hari
prnh,pernah
drpd,daripada
gw,gue
jt,juta
dl,dulu
wkwk,wkwk
wkwkwkwkk,wkwk
kl,kali
crt,cerita
slh,salah
mlh,malah
sdg,sedang
hp,hp
jl,jalan
wkwkwkwkwk,wkwk
hsl,hasil
sd,sampai dengan
sy,saya
bp,bapak
brp,berapa
sby,surabaya
dpn,depan
hrs,harus
kdg,kadang
tmpt,tempat
n,dan
wkwkwkwkwwk,wkwk
pp,pulang pergi
tps,tps
hmmm,hmm
cm,cuman
ttp,tetap
lgsg,langsung
bsr,besar
km,kamu
sm,sama
lm,lama
nntn,nonton
mk,mk
html,html
cmd,cmd
pd,padahal
wkkkk,wkwk
pks,pks
gt,gitu
jg,juga
bwt,buat
gk,tidak
lbh,lebih
skrg,sekarang
km,kamu
bnyk,banyak
ngw,ngewe
wkwkwk,wkwk
dmn,dimana
kpk,kpk
mtr,motor
mlm,malam
bhw,bahwa
dgn,dengan
dp,dp
sdh,sudah
ttg,tentang
dprd,daripada
wkwkwkwk,wkwk
gpp,gapapa
trtm,trtm
bs,bisa
smp,sampai
wkwkwkwkwkwk,wkwk
lwt,lewat
jkt,jakarta
blm,belum
th,tahun
thn,tahun
wkwkwkwkw,wkwk
tv,tv
trrs,terus
tdk,tidak
by,oleh
bdg,bandung
pt,patungan
wkwkwkkkk,wkwk
blg,bilang
mn,mana
tlg,tolong
mslh,masalah
sbg,sebagai
w,gue
hqq,hakiki
hmm,hmm
m,sama
ntr,ntar
xl,xl
mngkn,mungkin
dr,dari
tp,tapi
bljr,belajar
dng,dengan
tttttttt,titit
yg,yang
hmmmmmm,hmm
jkw,jokowi
gmn,gimana
mgkn,mungkin
d,di
knp,kenapa
bln,bulan
nh,nih
sj,saja
bkn,bukan
jk,jika
mrt,menurut
aktip,aktif
aktifitas,aktivitas
apotik,apotek
apotik,apotek
analisa,analisis
azas,asas
azas,asas
atlit,atlet
atlit,atlet
antri,antre
antri,antre
atmosfir,atmosfer
atmosfir,atmosfer
erobik,aerobic
erobik,aerobic
ahir,akhir
ahir,akhir
antar-instansi,antarinstansi
antar-instansi,antarinstansi
baud,baut
baud,baut
bis,bus
bis,bus
berfikir,berpikir
berfikir,berpikir
cabe,cabai
cabe,cabai
cinderamata,cenderamata
cinderamata,cenderamata
difinisi,definisi
difinisi,definisi
disel,diesel
disel,disel
dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
dipindah,dipindahkan
dipindah,dipindahkan
dollar,dolar
dollar,dolar
daptar,daftar
daptar,daftar
difinisi,definisi
difinisi,definisi
depo,depot
depo,depot
detil,detail
detil,detail
diagnosa,diagnosis
diagnosa,diagnosis
differensial,diferensial
differensial,diferensial
dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
disyahkan,disahkan
disyahkan,disahkan
eksport,ekspor
eksport,ekspor
ekstrim,ekstrem
ekstrim,ekstrem
ekwivalen,ekuivalen
ekwivalen,ekuivalen
hembus,embus
hembus,embus
esei,esai
pebruari,februari
pebruari,februari
phiologi,fiologi
phiologi,fiologi
filem,film
filem,film
phisik,fisik
phisik,fisik
photo,foto
photo,foto
frekwensi,frekuensi
frekwensi,frekuensi
hapal,hafal
hapal,hafal
hakekat,hakikat
hakekat,hakikat
hirarki,hierarki
hipotesa,hipotesis
ijasah,ijazah
ihlas,ikhlas
himbau,imbau
ilmiawan,ilmuwan
import,impor
insyaf,insaf
hisap,isap
isteri,istri
ijin,izin
jadual,jadwal
jenasah,jenazah
jendral,jenderal
kaedah,kaidah
karir,karier
khutbah,khotbah
komplek,kompleks
kondite,konduite
konperensi,konferesi
konkrit,konkret
konsepsionil,konsepsional
koordinir,koordinasi
kwalitas,kualitas
kwantitas,kuantitas
kwitansi,kuitansi
lobang,lubang
managemen,manajemen
manager,manajer
memproklamirkan,memproklamasikan
menyolok,mencolok
mendifinisikan,mendefinisikan
menterapkan,menerapkan
menterjemahkan,menerjemahkan
melola,mengelola
mengenyampingkan,mengesampingkan
mengeritik,mengkritik
mengobah,mengubah
merubah,mengubah
mensukseskan,menyukseskan
musti,mesti
metoda,metode
motip,motif
motifasi,motivasi
nara sumber,narasumber
nasehat,nasihat
nopember,november
obyek,objek
obyektif,objektif
on,ons
perletakan,peletakan
penasehat,penasihat
prosentase,persentase
pertanggung-jawab,pertanggungjawaban
problimatik,problematic
produktifitas,produktivitas
psikotest,psikotes
rejeki,rezeki
resiko,risiko
rubuh,roboh
seksama,saksama
sekertaris,sekretaris
mumpung,selagi
silahkan,silakan
sintesa,sintesis
sistimatis,sistematis
sistim,sistem
spesis,spesies
spiritual,spiritual
standarisasi,standardisasi
setasiun,stasiun
subyek,subjek
subyektip,subjektif
survai,survei
sutra,sutera
sukur,syukur
tapsiran,tafsiran
tarip,tarif
tehnik,teknik
terlanjur,telanjur
terlantar,telantar
terlentang,telentang
tilpun,telepon
teoritis,teoretis
trampil,terampil
team,tim
tradisionil,tradisional
trotoir,trotoar
hutang,utang
varitas,varietas
wasallam,wasalam
ujud,wujud
jaman,zaman
zone,zona
w,saya
akyu,saya
akuwh,saya
akku,saya
aku,saya
nax,anak
anx,anak
naq,anak
naggh,anak
pa,apa
ppa,apa
ja,aja
ajj,aja
lom,belum
lum,belum
leh,boleh
ru,baru
wat,buat
wad,buat
bangedh,banget
beud,banget
beut,banget
bokebb,porno
cw,cewek
cwekz,cewek
cwok,cowok
cwokz,cowok
cuekin,cuxin
ckep,cakep
ckepp,cakep
ckeb,cakep
c8,chat
w,saya
gw,saya
q,saya
aku,saya
yupz,ya
iy,ya
lupz,ya
imoeth,imut
imoetz,imut
mutz,imut
inich,ini
iniyh,ini
nc,ini
kakagg,kakak
kamuh,kamu
kamyu,kamu
qmu,kamu
kamuwh,kamu
kammooh,kamu
qamue,kamu
khuzuz,khusus
klianz,kalian
nal,kenal
soalnya,karena
coz,karena
cz,karena
kaluw,karena
klw,karena
low,karena
krenz,keren
krent,keren
krang,kurang
kangedh,kangen
kangeunnd,kangen
love,cinta
luph,cinta
luff,cinta
loupz,cinta
louph,cinta
loch,loh
lochkz,loh
lochx,loh
ghiy,lagi
ghiey,lagi
gi,lagi
luthu,lucu
uchul,lucu
luchuw,lucu
lupz,lupa
lo,kamu
lw,kamu
lg,sedang
lgi,sedang
gi,sedang
nich,nih
muuph,maaf
muphs,maaf
maav,maaf
maen,main
mumz,makan
mamz,makan
mums,makan
suk,masuk
mzuk,masuk
mzug,masuk
mzugg,masuk
hufft,mengeluh
maniezt,manis
manies,manis
ngak,tidak
ga,tidak
g,tidak
niech,nih
photo,foto
paling,sangat
p'ling,sangat
punya,milik
pny,milik
pzt,pasti
humz,rumah
hozz,rumah
t4,tempat
telp,telepon
yukz,yuk
yuqz,yuk
yg,yang
adlah,adalah
yg,yang
gmana,bagaimana
y,ya
pdhal,padahal
gk,tidak
sdh,sudah
tapi,tetapi
klo,kalau
aq,saya
sy,saya
stiap,setiap
trnsksi,transaksi
ad,ada
bts,batas
pmblian,pembelian
prmo,promo
prmonya,promonya
trs,terus
dlm,dalam
brp,berapa
tq,terimakasih
knp,kenapa
gk,tidak
thanks,terimakasih
gbs,tidak bisa
tapi,tetapi
gitu,begitu
ajah,saja
hrga,harga
sdh,sudah
brp,berapa
kalo,kalau
gak,tidak
gimana,bagaimana
trs,terus
dpet,dapat
ngeliat,melihat
terimakasih,terimakasih
ak,saya
udah,sudah
sy,saya
utk,untuk
trims,terimakasih
mhn,mohon
htl,hotel
bsm,bersama
brkt,berangkat
tgl,tanggal
n,dan
jd,jadi
sya,saya
tks,terimakasih
ketjup,kecup
smbl,sambil
blm,belum
tsb,tersebut
dg,dengan
ny,nya
diaa,dia
n,dan
nulisssss,menulis
nulis,menulis
kayak,seperti
trus,terus
curi2,curi-curi
dpt,dapat
teteup,tetap
plg,paling
dg,dengan
prlu,perlu
bbrp,beberapa
diprhatikan,diperhatikan
ktmu,ketemu
gk,tidak
tempat2,tempat tempat
byk,banyak
drtadi,dari tadi
bagi2,bagi bagi
uda,sudah
mensyen,mention
brbeda,berbeda
pny,punya
cr,cari
trus,terus
pake,pakai
agr,agar
pmbca,pembaca
trsbt,tersebut
tmpt,tempat
hrg,harga
prjlanan,perjalanan
lbh,lebih
lgi,lagi
skrng,sekarang
wkt,waktu
hr,hari
org,orang
dg,dengan
td,tadi
sbg,sebagai
msh,masih
trgantung,tergantung
tuket,tiket
mnjadi,menjadi
bwh,bawah
hrs,harus
bgaimana,bagaimana
prjalanan,perjalanan
stelah,setelah
mlelahkan,melelahkan
mngembalikan,mengembalikan
kebnyakan,kebanyakan
dri,dari
ngirimin,mengirim
enggak,tidak
kecee,kece
itung,hitung
bener,benar
nyumbang,menyumbang
nguntungin,menguntungkan
byr,bayar
nginep,menginap
orgorg,orang-orang
mnjadi,menjadi
bberapa,beberapa
bln,bulan
uda,sudah
bsa,bisa
mnghsilkan,menghasilkan
jawan,jawab
jawaaab,jawab
bkn,bukan
dg,dengan
apapn,apapun
skedar,sekedar
mncari,mencari
klu,kalau
bs,bisa
bisaaa,bisa
bangeet,banget
gmn,bagaimana
pmbaca,pembaca
prhatikan,perhatikan
komen2,komentar
aja,saja
udah,sudah
engagememt,engagement
jgn,jangan
sblum,sebelum
lbih,lebih
nulis,menulis
mw,mau
ngalir,mengalir
sprti,seperti
hrus,harus
tau,tahu
sprti,seperti
dg,dengan
trus,terus
dlm,dalam
dann,dan
sbnarnya,sebenarnya
sndiri,sendiri
twma,tema
khidupan,kehidupan
teman2,teman
rata2,rata-rata
sebernanya,sebenarnya
beguna,berguna
pmbcr,pembicara
prtm,pertama
ntah,entah
bg,abang
pngen,ingin
nambah,tambah
kesalahan2,kesalahan
selese,selesai
pnya,punya
sblum,sebelum
sdng,sedang
ttg,tentang
ktmu,ketemu
aksea,akses
mendokkrak,mendongkrak
sering2,sering
lsg,langsung
dmn,dimana
thl,tanggal
dpt,dapat
donk,dong
plmbang,palembang
bndung,bandung
guna,berguna
telfon,telepon
gada,tidak ada
masi,masih
brarti,berarti
tar,nanti
dobel,double
intl,internasional
bs,bisa
say,saya
apalikasi,aplikasi
pd,kepada
ktiga,ketiga
dn,dan
moga,semoga
karna,karena
untk,untuk
nmr,nomor
kmr,kamar
mskapai,maskapai
memg,memang
traveokanya,travelokanya
melkukan,melakukan
tng,tentang
penjelasanya,penjelasannya
trimakasih,terimakasih
smlm,semalam
dg,dengan
sdh,sudah
saã¢â¬â¢at,saat
chek,check
krm,kirim
refouds,refounds
mnghubing,menghubungi
ber'arti,berarti
org,orang
pebgaduan,pengaduan
refoudsnya,refounds
apakh,apakah
pemenang,pemenang
skrg,sekarang
statua,status
danayanya,dana
ngantre,mengantri
gak,tidak
haii,hai
dbuka,di buka
dy,dia
sndirinya,sendirinya
ndak,tidak
audah,sudah
kjlsn,kejelasan
ttg,tentang
smp,sampai
nda,tidak
beda2,beda beda
dr,dari
ga,tidak
makasih,terimakasih
pa,apa
bs,bisa
d,di
thn,tahun
trmn ksh,terimakasih
thks,terimakasih
melakukab,melakukan
tlg,tolong
anak2,anak anak
th,tahun
kmarin,kemarin
diknfirmasike,dikonfirmasi ke
peswat,pesawat
untk,untuk
bokingnya,bookingnya
mrndapat,mendapat
skitar,sekitar
sblm,sebelum
klo,kalau
beress,beres
bgtu,begitu
tlfn,telepon
kta,kata
tmn,teman
pke,pakai
trf,transfer
bgmana,bagaimana
sdh,sudah
msuk,masuk
mw,mau
nanya,tanya
trus,terus
pemsanan,pemesanan
masi,masih
ngga,tidak
thx,terimakasih
tengkyu,terimakasih
telpon,telepon
ktnya,katanya
udh,sudah
slmt,selamat
trm ksh,terimakasih
bmana,bagaimana
min,admin
mmsan,memesan
tapi,tetapi
trus,terus
blm,belum
mendptkan,mendapatkan
tdk,tidak
brngkat,berangkat
tp,tetapi
\n,dan
no,tidak
gt,begitu
mureh,murah
msan,pesan
gue,saya
bgt,banget
krn,karena
gapapa,tidak apa apa
lho,loh
tlp,telepon
sring,sering
srng,sering
srg,sering
x,sangat
mncul,muncul
bgt,sangat
bngt,sangat
aja,saja
online,daring
ga,tidak
mau,ingin
ya,iya
gak,tidak
jualan,jual
udah,sudah
kalo,kalau
shop,toko
karna,karena
lokal,setempat
d,di
offline,luring
cina,china
klo,kalau
liat,melihat
tok,saja
cuma,percuma
malah,justru
org,orang
dr,dari
gw,saya
tpi,tapi
harganya,harga
banned,tutup
jg,juga
byk,banyak
dgn,dengan
uang,duit
tp,tapi
indo,indonesia
makin,semakin
kayak,seperti
pake,pakai
berfikir,berpikir
utk,untuk
skrng,sekarang
seller,penjual
gue,saya
jd,jadi
aku,saya
bgt,banget
jdi,jadi
indo,indonesia
dagang,berjualan
tau,tahu
apk,aplikasi
bs,bisa
yg,yang
sewa,pinjam
udh,udah
emg,memang
ban,tutup
lu,kamu
bnyk,banyak
jaman,zaman
ngak,tidak
market,toko
mw,ingin
krn,karena
nggak,tidak
nunggu,tunggu
sampe,sampai
sm,dengan
dpt,dapat
lg,lagi
commerce,ecommerce
dri,dari
merk,merek
diem,diam
lbh,lebih
mrk,mereka
doang,saja
gaada,kosong
rame,ramai
tdk,tidak
ongkos,biaya
free,gratis
jgn,jangan
jga,juga
gua,saya
doank,saja
ga,tidak
tetep,tetap
blokir,tutup
ttp,tetapi
sdm,manusia
order,permintaan
setau,tahu
melarang,tutup
karna,karena
ampe,sampai
tak,tidak
temen,teman
plus,tambah
sempet,sempat
org,orang
mikir,pikir
acuan,pedoman
supaya,agar
nutup,tutup
store,toko
smua,semua
export,expor
y,iya
nget,banget
blg,bilang
textile,bahan
negri,negeri
emang,memang
krn,karena
ya,iya
nyalahin,salah
bug,macet
after,sesudah
kagak,tidak
macam,jenis
milih,pilih
abis,habis
setidakna,setidaknya
dipake,dipakai
gini,begini
durability,daya tahan
tergiur,suka
ancur,hancur
usah,susah
knp,kenapa
sy,saya
blanja,belanja
bsa,bisa
ia,dia
social,sosial
segi,bentuk
ya,iya
yah,iya
yah,iya
dlm,dalam
gausah,tidak
pokonya,pokok
bgtu,begitu
krna,karena
gmn,bagaimana
baned,tutup
ngk,tidak
joget,menari
security,keamanan
skrg,sekarang
minder,malu
bukak,buka
seneng,senang
bknnya,bukan
blm,belum
geleng,menolak
smpe,sampai
yaa,iya
minimum,minimal
quantitynya,banyak
jor2,hancur
dipublish,diumumkan
kayaknya,sepertinya
q,aku
disupport,dibantu
tu,itu
drpd,daripada
dear,oleh
release,terbit
pricing,harga
ngatur,mengatur
